"State Name","2013","2014","2015","2016","2017","2018","2019","2020","2020 Factors"
"Alabama","4799277 (-1.96%)","4817678 (0.38%)","4830620 (0.27%)","4841164 (0.22%)","4850771 (0.20%)","4864680 (0.29%)","4876250 (0.24%)","4893186 (0.35%)","2;2,446,593.00,3;1,631,062.00,41;119,346.00,19891;246.00"
"Alaska","720316 (-2.31%)","728300 (1.10%)","733375 (0.69%)","736855 (0.47%)","738565 (0.23%)","738516 (-0.01%)","737068 (-0.20%)","736990 (-0.01%)","2;368,495.00,5;147,398.00,73699;10.00"
"Arizona","6479703 (-10.72%)","6561516 (1.25%)","6641928 (1.21%)","6728577 (1.29%)","6809946 (1.19%)","6946685 (1.97%)","7050299 (1.47%)","7174064 (1.73%)","2;3,587,032.00,2;3,587,032.00,2;3,587,032.00,2;3,587,032.00,448379;16.00"
"Arkansas","2933369 (-2.68%)","2947036 (0.46%)","2958208 (0.38%)","2968472 (0.35%)","2977944 (0.32%)","2990671 (0.43%)","2999370 (0.29%)","3011873 (0.42%)","17;177,169.00,23;130,951.00,7703;391.00"
"California","37659181 (-4.48%)","38066920 (1.07%)","38421464 (0.92%)","38654206 (0.60%)","38982847 (0.84%)","39148760 (0.42%)","39283497 (0.34%)","39346023 (0.16%)","3;13,115,341.00,587;67,029.00,22343;1,761.00"
"Colorado","5119329 (-11.05%)","5197580 (1.51%)","5278906 (1.54%)","5359295 (1.50%)","5436519 (1.42%)","5531141 (1.71%)","5610349 (1.41%)","5684926 (1.31%)","2;2,842,463.00,13;437,302.00,218651;26.00"
"Connecticut","3583561 (0.36%)","3592053 (0.24%)","3593222 (0.03%)","3588570 (-0.13%)","3594478 (0.16%)","3581504 (-0.36%)","3575074 (-0.18%)","3570549 (-0.13%)","3;1,190,183.00,31;115,179.00,38393;93.00"
"Delaware","908446 (-6.52%)","917060 (0.94%)","926454 (1.01%)","934695 (0.88%)","943732 (0.96%)","949495 (0.61%)","957248 (0.81%)","967679 (1.08%)","23;42,073.00,42073;23.00"
"District of Columbia","619371 (-13.34%)","633736 (2.27%)","647484 (2.12%)","659009 (1.75%)","672391 (1.99%)","684498 (1.77%)","692683 (1.18%)","701974 (1.32%)","2;350,987.00,7;100,282.00,7;100,282.00,13;53,998.00,19;36,946.00,29;24,206.00"
"Florida","19091156 (-11.13%)","19361792 (1.40%)","19645772 (1.45%)","19934451 (1.45%)","20278447 (1.70%)","20598139 (1.55%)","20901636 (1.45%)","21216924 (1.49%)","2;10,608,462.00,2;10,608,462.00,3;7,072,308.00,3;7,072,308.00,3;7,072,308.00,196453;108.00"
"Georgia","9810417 (-7.20%)","9907756 (0.98%)","10006693 (0.99%)","10099320 (0.92%)","10201635 (1.00%)","10297484 (0.93%)","10403847 (1.02%)","10516579 (1.07%)","47;223,757.00,223757;47.00"
"Hawaii","1376298 (-3.18%)","1392704 (1.18%)","1406299 (0.97%)","1413673 (0.52%)","1421658 (0.56%)","1422029 (0.03%)","1422094 (0.00%)","1420074 (-0.14%)","2;710,037.00,3;473,358.00,3;473,358.00,78893;18.00"
"Idaho","1583364 (-10.80%)","1599464 (1.01%)","1616547 (1.06%)","1635483 (1.16%)","1657375 (1.32%)","1687809 (1.80%)","1717750 (1.74%)","1754367 (2.09%)","3;584,789.00,584789;3.00"
"Illinois","12848554 (1.03%)","12868747 (0.16%)","12873761 (0.04%)","12851684 (-0.17%)","12854526 (0.02%)","12821497 (-0.26%)","12770631 (-0.40%)","12716164 (-0.43%)","2;6,358,082.00,2;6,358,082.00,349;36,436.00,9109;1,396.00"
"Indiana","6514861 (-2.79%)","6542411 (0.42%)","6568645 (0.40%)","6589578 (0.32%)","6614418 (0.38%)","6637426 (0.35%)","6665703 (0.42%)","6696893 (0.47%)","7;956,699.00,956699;7.00"
"Iowa","3062553 (-2.86%)","3078116 (0.51%)","3093526 (0.50%)","3106589 (0.42%)","3118102 (0.37%)","3132499 (0.46%)","3139508 (0.22%)","3150011 (0.33%)","23;136,957.00,151;20,861.00,907;3,473.00"
"Kansas","2868107 (-1.55%)","2882946 (0.51%)","2892987 (0.35%)","2898292 (0.18%)","2903820 (0.19%)","2908776 (0.17%)","2910652 (0.06%)","2912619 (0.07%)","3;970,873.00,97;30,027.00,10009;291.00"
"Kentucky","4361333 (-2.31%)","4383272 (0.50%)","4397353 (0.32%)","4411989 (0.33%)","4424376 (0.28%)","4440204 (0.36%)","4449052 (0.20%)","4461952 (0.29%)","2;2,230,976.00,2;2,230,976.00,2;2,230,976.00,2;2,230,976.00,2;2,230,976.00,2;2,230,976.00,2;2,230,976.00,11;405,632.00,3169;1,408.00"
"Louisiana","4567968 (-2.12%)","4601049 (0.72%)","4625253 (0.52%)","4645670 (0.44%)","4663461 (0.38%)","4663616 (0.00%)","4664362 (0.02%)","4664616 (0.01%)","2;2,332,308.00,2;2,332,308.00,2;2,332,308.00,3;1,554,872.00,11;424,056.00,17669;264.00"
"Maine","1328320 (-0.94%)","1328535 (0.02%)","1329100 (0.04%)","1329923 (0.06%)","1330158 (0.02%)","1332813 (0.20%)","1335492 (0.20%)","1340825 (0.40%)","5;268,165.00,5;268,165.00,53633;25.00"
"Maryland","5834299 (-3.48%)","5887776 (0.91%)","5930538 (0.72%)","5959902 (0.49%)","5996079 (0.60%)","6003435 (0.12%)","6018848 (0.26%)","6037624 (0.31%)","2;3,018,812.00,2;3,018,812.00,2;3,018,812.00,754703;8.00"
"Massachusetts","6605058 (-4.06%)","6657291 (0.78%)","6705586 (0.72%)","6742143 (0.54%)","6789319 (0.69%)","6830193 (0.60%)","6850553 (0.30%)","6873003 (0.33%)","3;2,291,001.00,3;2,291,001.00,19;361,737.00,40193;171.00"
"Michigan","9886095 (-0.89%)","9889024 (0.03%)","9900571 (0.12%)","9909600 (0.09%)","9925568 (0.16%)","9957488 (0.32%)","9965265 (0.08%)","9973907 (0.09%)","919;10,853.00,10853;919.00"
"Minnesota","5347740 (-4.72%)","5383661 (0.67%)","5419171 (0.66%)","5450868 (0.58%)","5490726 (0.73%)","5527358 (0.66%)","5563378 (0.65%)","5600166 (0.66%)","2;2,800,083.00,3;1,866,722.00,11;509,106.00,13;430,782.00,61;91,806.00,107;52,338.00"
"Mississippi","2976872 (-0.17%)","2984345 (0.25%)","2988081 (0.13%)","2989192 (0.04%)","2986220 (-0.10%)","2988762 (0.09%)","2984418 (-0.15%)","2981835 (-0.09%)","3;993,945.00,3;993,945.00,5;596,367.00,23;129,645.00,43;69,345.00,67;44,505.00"
"Missouri","6007182 (-1.95%)","6028076 (0.35%)","6045448 (0.29%)","6059651 (0.23%)","6075300 (0.26%)","6090062 (0.24%)","6104910 (0.24%)","6124160 (0.31%)","2;3,062,080.00,2;3,062,080.00,2;3,062,080.00,2;3,062,080.00,2;3,062,080.00,2;3,062,080.00,2;3,062,080.00,5;1,224,832.00,7;874,880.00,1367;4,480.00"
"Montana","998554 (-6.32%)","1006370 (0.78%)","1014699 (0.82%)","1023391 (0.85%)","1029862 (0.63%)","1041732 (1.14%)","1050649 (0.85%)","1061705 (1.04%)","5;212,341.00,59;17,995.00,59;17,995.00,61;17,405.00"
"Nebraska","1841625 (-4.46%)","1855617 (0.75%)","1869365 (0.74%)","1881259 (0.63%)","1893921 (0.67%)","1904760 (0.57%)","1914571 (0.51%)","1923826 (0.48%)","2;961,913.00,19;101,254.00,50627;38.00"
"Nevada","2730066 (-11.00%)","2761584 (1.14%)","2798636 (1.32%)","2839172 (1.43%)","2887725 (1.68%)","2922849 (1.20%)","2972382 (1.67%)","3030281 (1.91%)","31;97,751.00,239;12,679.00,409;7,409.00"
"New Hampshire","1319171 (-2.73%)","1321069 (0.14%)","1324201 (0.24%)","1327503 (0.25%)","1331848 (0.33%)","1343622 (0.88%)","1348124 (0.33%)","1355244 (0.53%)","2;677,622.00,2;677,622.00,3;451,748.00,11;123,204.00,10267;132.00"
"New Jersey","8832406 (-0.60%)","8874374 (0.47%)","8904413 (0.34%)","8915456 (0.12%)","8960161 (0.50%)","8881845 (-0.88%)","8878503 (-0.04%)","8885418 (0.08%)","2;4,442,709.00,3;2,961,806.00,1480903;6.00"
"New Mexico","2069706 (-1.32%)","2080085 (0.50%)","2084117 (0.19%)","2082669 (-0.07%)","2084828 (0.10%)","2092434 (0.36%)","2092454 (0.00%)","2097021 (0.22%)","3;699,007.00,699007;3.00"
"New York","19487053 (-0.14%)","19594330 (0.55%)","19673174 (0.40%)","19697457 (0.12%)","19798228 (0.51%)","19618453 (-0.92%)","19572319 (-0.24%)","19514849 (-0.29%)","163;119,723.00,119723;163.00"
"North Carolina","9651380 (-7.61%)","9750405 (1.02%)","9845333 (0.96%)","9940828 (0.96%)","10052564 (1.11%)","10155624 (1.01%)","10264876 (1.06%)","10386227 (1.17%)","10386227;1.00"
"North Dakota","689781 (-10.24%)","704925 (2.15%)","721640 (2.32%)","736162 (1.97%)","745475 (1.25%)","752201 (0.89%)","756717 (0.60%)","760394 (0.48%)","2;380,197.00,380197;2.00"
"Ohio","11549590 (-1.09%)","11560380 (0.09%)","11575977 (0.13%)","11586941 (0.09%)","11609756 (0.20%)","11641879 (0.28%)","11655397 (0.12%)","11675275 (0.17%)","5;2,335,055.00,5;2,335,055.00,179;65,225.00,2609;4,475.00"
"Oklahoma","3785742 (-4.32%)","3818851 (0.87%)","3849733 (0.80%)","3875589 (0.67%)","3896251 (0.53%)","3918137 (0.56%)","3932870 (0.37%)","3949342 (0.42%)","2;1,974,671.00,59;66,938.00,33469;118.00"
"Oregon","3868721 (-7.95%)","3900343 (0.81%)","3939233 (0.99%)","3982267 (1.08%)","4025127 (1.06%)","4081943 (1.39%)","4129803 (1.16%)","4176346 (1.11%)","2;2,088,173.00,227;18,398.00,9199;454.00"
"Pennsylvania","12731381 (-0.50%)","12758729 (0.21%)","12779559 (0.16%)","12783977 (0.03%)","12790505 (0.05%)","12791181 (0.01%)","12791530 (0.00%)","12794885 (0.03%)","5;2,558,977.00,19;673,415.00,134683;95.00"
"Puerto Rico","3682966 (11.60%)","3638965 (-1.21%)","3583073 (-1.56%)","3529385 (-1.52%)","3468963 (-1.74%)","3386941 (-2.42%)","3318447 (-2.06%)","3255642 (-1.93%)","2;1,627,821.00,3;1,085,214.00,3;1,085,214.00,13;250,434.00,13913;234.00"
"Rhode Island","1051695 (-0.58%)","1053252 (0.15%)","1053661 (0.04%)","1054491 (0.08%)","1056138 (0.16%)","1056611 (0.04%)","1057231 (0.06%)","1057798 (0.05%)","2;528,899.00,7;151,114.00,75557;14.00"
"South Carolina","4679602 (-8.80%)","4727273 (1.01%)","4777576 (1.05%)","4834605 (1.18%)","4893444 (1.20%)","4955925 (1.26%)","5020806 (1.29%)","5091517 (1.39%)","17;299,501.00,299501;17.00"
"South Dakota","825198 (-6.56%)","834708 (1.14%)","843190 (1.01%)","851058 (0.92%)","855444 (0.51%)","864289 (1.02%)","870638 (0.73%)","879336 (0.99%)","2;439,668.00,2;439,668.00,2;439,668.00,3;293,112.00,3;293,112.00,3;293,112.00,3;293,112.00,23;38,232.00,59;14,904.00"
"Tennessee","6402387 (-5.78%)","6451365 (0.76%)","6499615 (0.74%)","6548009 (0.74%)","6597381 (0.75%)","6651089 (0.81%)","6709356 (0.87%)","6772268 (0.93%)","2;3,386,134.00,2;3,386,134.00,1693067;4.00"
"Texas","25639373 (-11.69%)","26092033 (1.73%)","26538614 (1.68%)","26956435 (1.55%)","27419612 (1.69%)","27885195 (1.67%)","28260856 (1.33%)","28635442 (1.31%)","2;14,317,721.00,11;2,603,222.00,103;278,014.00,12637;2,266.00"
"Utah","2813673 (-12.00%)","2858111 (1.55%)","2903379 (1.56%)","2948427 (1.53%)","2993941 (1.52%)","3045350 (1.69%)","3096848 (1.66%)","3151239 (1.73%)","3;1,050,413.00,7;450,177.00,7;450,177.00,13;242,403.00,17;185,367.00,97;32,487.00"
"Vermont","625904 (0.25%)","626358 (0.07%)","626604 (0.04%)","626249 (-0.06%)","624636 (-0.26%)","624977 (0.05%)","624313 (-0.11%)","624340 (0.00%)","2;312,170.00,2;312,170.00,5;124,868.00,19;32,860.00,31;20,140.00,53;11,780.00"
"Virginia","8100653 (-5.05%)","8185131 (1.03%)","8256630 (0.87%)","8310301 (0.65%)","8365952 (0.67%)","8413774 (0.57%)","8454463 (0.48%)","8509358 (0.65%)","2;4,254,679.00,11;773,578.00,13;654,566.00,29753;286.00"
"Washington","6819579 (-10.16%)","6899123 (1.15%)","6985464 (1.24%)","7073146 (1.24%)","7169967 (1.35%)","7294336 (1.71%)","7404107 (1.48%)","7512465 (1.44%)","3;2,504,155.00,5;1,502,493.00,500831;15.00"
"West Virginia","1853619 (2.49%)","1853881 (0.01%)","1851420 (-0.13%)","1846092 (-0.29%)","1836843 (-0.50%)","1829054 (-0.43%)","1817305 (-0.65%)","1807426 (-0.55%)","2;903,713.00,211;8,566.00,4283;422.00"
"Wisconsin","5706871 (-1.75%)","5724692 (0.31%)","5742117 (0.30%)","5754798 (0.22%)","5763217 (0.15%)","5778394 (0.26%)","5790716 (0.21%)","5806975 (0.28%)","5;1,161,395.00,5;1,161,395.00,109;53,275.00,2131;2,725.00"
"Wyoming","570134 (-1.97%)","575251 (0.89%)","579679 (0.76%)","583029 (0.57%)","583200 (0.03%)","581836 (-0.23%)","581024 (-0.14%)","581348 (0.06%)","2;290,674.00,2;290,674.00,23;25,276.00,71;8,188.00,89;6,532.00"
